TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
CANCIONES DEL QUE NO CANTA;BENEDETTI  MARIO;VISOR LIBROS ;11800;POESIA;
CANTO A LA ARGENTINA ;DARIO  RUBEN;LOM;2500;POESIA;
CANTO A MI MISMO;WHITMAN  WALT;AKAL;9531;POESIA;
CAPITALISMO HISTORICO ;IMMANUEL WALLERSTEIN ;SIGLO XXI;15000;SOCIOLOGIA;
CAPITALISMO Y EMPRESA ;ESPINOZA  RICARDO ;TARAHUMARA;10000;ENSAYO;
CAPITALISMO Y ESCLAVITUD;ERIC WILLIAMS;TRAFICANTES DE SUEÑOS;25000;SOCIOLOGIA;
CARL JUNG Y LA PSICOLOGIA ANALITICA (MANGA);JUNG  C.G.;LA OTRAB;14000;PSICOLOGIA;
CARLOS;JESSEN  IDA;LIBERALIA;8000;INFANTIL;
CARLOS PEZOA VELIZ;SILVA  RAUL;TACITAS;10000;POESIA;
CARRIE;KING  STEPHEN;DEBOLSILLO;8000;TERROR / SUSPENSO ;
CARRIZAL;ROJAS  LUIS;LOM;11000;HISTORIA DE CHILE ;
CARTA A ROQUE DALTON ;AGUIRRE  ISIDORA ;SANGRIA;10000;LITERATURA CHILENA;
CARTAS DE LA PRISION / ROSA LUXEMBURGO;LUXENMBURGO  ROSA;AKAL;13800;FILOSOFIA;
CARTAS LUTERANAS ;PASOLINI  PIER PAOLO;TROTTA;17500;FILOSOFIA;
CASA PROPIA;ERNESTO GARRAT;CATALONIA;12000;LITERATURA CHILENA;
CATECHI;CRISTIÁN GEISSE ;MONTACERDOS ;11000;LITERATURA LATINOAMERICANA;
CATEDRAS PARALELAS;GALLARDO  ANDRES;OVEROL ;12000;LITERATURA CHILENA;
CAZADORES DE NAZIS;LEWIS  DAMIEN;CRITICA;17500;HISTORIA DE CHILE ;
CAZAR AL CAZADOR;PASCALE  BONNEFOY ;DEBOLSILLO;9286;HISTORIA DE CHILE ;
CERCADA;MERUANE  LINA ;CUARTO PROPIO;7000;LITERATURA CHILENA;
CHACARILLAS. LOS ELEGIDOS DE PINOCHET ;GUIDO ARROYO - FELIPE REYES;ALQUIMIA ;11000;ENSAYO;
CHACARILLAS: ELEGIDOS DE PINOCHET;GUIDO ARROYO;ALQUIMIA;11000;HISTORIA ;
CHACON;VARAS  JOSE MGUEL ;LOM;8500;LITERATURA CHILENA;
CHILE EN 20 AÑOS;PNUD;LOM;2600;SOCIOLOGIA;
CHILE EN RUTA AL CAPITALISMO;ORTEGA  LUIS;LOM;27000;HISTORIA DE CHILE ;
CHILEAN ELECTRIC;FERNANDEZ  NONA;ALQUIMIA;11000;LITERATURA CHILENA;
CHILENAS;CUMPLIDO  JOSE MARIA ;SUDAMERICANA;11000;HISTORIA DE CHILE ;
CHILENAZI;CARLOS BASSO PRIETO;AGUILAR ;14000;HISTORIA ;
CHRISTINE;KING  STEPHEN;DEBOLSILLO;12000;TERROR / SUSPENSO ;
CIEN AÑOS DE SOLEDAD ;MARQUEZ GARCIA  GABRIEL;DEBOLSILLO;10000;LITERATURA LATINOAMERICANA;
CIENCIAS OCULTAS;WILSON MIKE ;FIORDO;13000;NOVELA;
CINCO AVENTURAS DE SHERLOCK HOLMES;CONAN DOYLE  ARTHUR;SIRUELA ;14600;NOVELA POLICIAL ;
CINCO ESQUINAS;VARGAS LLOSA  MARIO;ALFAGUARA;15000;LITERATURA LATINOAMERICANA;
CIRCE;Madeline Miller;ANAYA;28000;MITOLOGIA;
CITAS DE SERIES;DANIELA LAGOS;LAUREL ;10000;;
CIUDAD DE LOS POBRES   CIUDAD DE LOS RICOS;BERNARDO SECCHI;CATARATA;15500;SOCIOLOGIA;
CIUDAD GENERO E IMAGINARIOS URBANOS EN LA NARRATIVA LATINOAMERICANA;LUCIA GUERRA;CUARTO PROPIO;10900;FEMINISMO;
CIUDAD Y FANTASMAGORÍA ;CAROLINA RUEDA ;CUARTO PROPIO ;18000;FILOSOFIA;
CIUDADANIA;BALIBAR  ETIENNE;ADRIANA HIDALGO;13000;ENSAYO;
CIUDADES DEL AIRE . LA UTOPIA NIHILISTA;ANTONIO FERNANDEZ;CATARATA;19800;SOCIOLOGIA;
CIUDADES MUERTAS  ECOLOGIA   CATASTROFE;STEVEN GORELICK;CATARATA;20500;SOCIOLOGIA;
CLARABOYA;SARAMAGO  JOSE;ALFAGUARA;18500;LITERATURA UNIVERSAL;
CLASE EL DESPERTAR DE LA MULTITUD;CAVALLETTI  ANDREA;ADRIANA HIDALGO;15200;ENSAYO;
CLAVES ECOFEMINISTAS;ALICIA H. PULEO;PLAZA Y VALDES;13000;FEMINISMO;
CLINICA JARDIN DEL ESTE;SUBERCASEAUX  ELIZABETH;CATALONIA;9500;LITERATURA CHILENA;
COLAPSO;MANUEL BAQUEDANO ;CUARTO PROPIO ;6000;VERDE ANIMAL ;
COLMILLO BLANCO ;LONDON  JACK;LOSADA;21900;LITERATURA UNIVERSAL;
