TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
LA MENTE ANSIOSA;BREWER  JUDSON;PAIDOS;13500;AUTOAYUDA;
LA MUERTE DEL COMENDADOR LIBRO II;MURAKAMI  HARUKI;TUSQUETS;22500;LITERATURA UNIVERSAL;
LA MUJER DE MI VIDA ;GUELFENBEIN  CARLA;DEBOLSILLO;9900;LITERATURA CHILENA;
LA MUJER DEL PELO ROJO;PAMUK  ORHAN;RANDOM HOUSE ;15000;LITERATURA UNIVERSAL;
LA MUJER DEL PROJIMO ;TALESE  GAY ;DEBATE;19500;NOVELA ROMANTICA;
LA MÚSICA COMO DISCURSO;KOFI AGAWU;ETERNA CADENCIA;25000;MÚSICA;
LA NARIZ  EL ABRIGO;GOGOL;EDITORIAL SAPOSCAT ;12000;ENSAYO;
LA NIETA DEL SEÑOR LINH;CLAUDEL  PHILIPPE;LETRAS DE BOLSILLO;7500;LITERATURA UNIVERSAL;
LA NIÑA QUE SE ESCONDÍA DEMASIADO;JOCELIN PÉREZ;MUÑECA DE TRAPO;12000;INFANTIL;
LA NUEVA CANCION CHILENA;J PATRICE MCSHERRY;LOM;12000;HISTORIA DE CHILE ;
LA OBRA DE ARTE EN LA ERA DE SU REPRODUCCION TECNICA;BENJAMIN  WALTER;AKAL;10500;FILOSOFIA;
LA OCTAVA VIDA;HARATISCHWILLI  NINO;RANDOM HOUSE ;17500;LITERATURA UNIVERSAL;
LA OLA;LILIANA COLANZI;MONTACERDOS ;9900;LITERATURA LATINOAMERICANA;
LA ORDEN DEL DIA;VUILLARD  ERIC;TUSQUETS;14000;NOVELA HISTORICA;
LA ORGANIZACIÓN ESPONTANEA DE LA ECONOMIA;KRUGMAN  PAUL;ANTONI BOSCH;25000;ENSAYO;
LA ORQUESTA ROJA ;PERRAULT  GILLES;TXALAPARTA;28000;NOVELA HISTORICA;
LA OSCURA MEMORIA DE LAS ARMAS;DIAZ ETEROVIC  RAMON ;LOM;12000;LITERATURA CHILENA;
LA OTRA ESCLAVITUD;ANDRÉS RESÉNDEZ;GRANO DE SAL;25000;LITERATURA LATINOAMERICANA;
LA OTRA ESCLAVITUD. HISTORIA OCULTA DEL ESCLAVISMO INDÍGENA;ANDRÉS RESÉNDEZ;GRANO DE SAL;25000;LITERATURA LATINOAMERICANA;
LA PANDILLA DE ASAKUSA;KAWABATA  YASUNARI;EMECE;14300;LITERATURA UNIVERSAL;
LA PARTIDA DE AJEDREZ;ZWEIG  STEFAN;LOM;6000;LITERATURA UNIVERSAL;
LA PATAGONIA REBELDE;OSVALDO BAYER;TXALAPARTA;23500;NOVELA HISTORICA;
LA PATRIA ESTREMECIDA;SUBERCASEAUX  ELIZABETH;CATALONIA;18900;LITERATURA CHILENA;
LA PATRIA INSOSPECHADA;LARA  RODRIGO ;CATALONIA;13500;HISTORIA DE CHILE ;
LA PERGOLA DE LAS FLORES;AGUIRRE  ISIDORA;HUEDERS;21000;INFANTIL;
LA PIEZA OSCURA;ENRIQUE LIHN;UDP;10000;POESÍA;
LA PISTA DE HIELO;BOLAÑO  ROBERTO;ALFAGUARA;13000;LITERATURA CHILENA;
LA PRIMERA OSCURIDAD Y OTROS POEMAS ;HAHN  OSCAR;VISOR LIBROS ;15200;POESIA;
LA PROMEDA DE LA FELICIDAD ;AHMED  SARA;CAJA NEGRA;23000;SOCIOLOGIA;
LA PROSTITUCION EN EL CORAZON DEL CAPITALISMO;ROSA COBO BEDÍA;SANTIAGO ALBA RICO;20500;FILOSOFIA;
LA PSICOLOGIA DE LA TRANSFERENCIA;JUNG  C.G.;PAIDOS;24000;PSICOLOGIA;
LA RAZON DE LOS AMANTES ;PABLO SIMONETI;ALFAGUARA;17500;LITERATURA CHILENA;
LA REACCION CONSERVADORA;JOSE MANUEL ROCA;LA LINTERNA SORDA;21500;ENSAYO;
LA REBELION DE LA CHORA;LABARCA  EDUARDO ;CATALONIA;16800;LITERATURA CHILENA;
LA REBELION DE LAS NANAS;SUBERCASEAUX  ELIZABETH;CATALONIA;12000;LITERATURA CHILENA;
LA REINA ISABEL CANTABA RANCHERAS;RIVERA LETELIER  HERNAN;CATALONIA;6000;LITERATURA CHILENA;
LA RESISTENCIA ;SABATO  ERNESTO;PLANETA;8000;LITERATURA LATINOAMERICANA;
LA SABIDURIA DEL CONFUCIANISMO;CONFUCIO;JOSE J. DE OLAÑETA;15200;FILOSOFIA;
LA SALVACION DE LO BELLO ;CHUL HAN  BYUNG;HERDER;13500;FILOSOFIA;
LA SANGRE Y LA ESPERANZA ;GUZMAN  NICOMEDES;LOM;11000;LITERATURA CHILENA;
LA SEMILLA DE LA BRUJA ;MARGARET ATWOOD     ;LUMEN;12000;CIENCIA FICCION ;
LA SEÑORITA LARA;DROGUETT  CARLOS;LOM;5000;LITERATURA CHILENA;
LA SILLA DE PLATA ;CS LEWIS;PLANETA;9700;FANTASIA;
LA SOCIEDAD DE LA TRANSPARENCIA;CHUL HAN  BYUNG;HERDER;13500;FILOSOFIA;
LA SOCIEDAD DEL CANSANCIO;CHUL HAN  BYUNG;HERDER;13500;FILOSOFIA;
LA SOCIEDAD EN QUE VIVI(RE)MOS;GARRETON  ANTONIO;LOM;7000;ENSAYO;
LA SOCIEDAD LITERARIA DEL PASTEL DE PIEL DE PATATA DE GUERNSEY;SHAFFER  MARY ANN;SUDAMERICANA;19500;HISTORIA DE CHILE ;
LA SOMBRA DEL VIENTO;RUIZ ZAFON  CARLOS;PLANETA;21500;TERROR / SUSPENSO ;
LA SUBJETIVACION CURSO SOBRE FOUCAULT;DELEUZE  GILLES;CACTUS;18500;SOCIOLOGIA;
LA SUBJETIVACION: CURSO SOBRE FOUCAULT TOMO III;DELEUZE  GILLES;CACTUS;17500;SOCIOLOGIA;
LA TELEVISIÓN ES MALA MAESTRA;KARL POPPER;FCE;5000;FILOSOFIA;
LA TOLERANCIA EXPLICADA A TODO EL MUNDO ; DROIT  ROGER;PLANETA;18500;ENSAYO;
LA TORMENTA DE NIEVE;TOLSTOI  LEV;ACANTILADO;12000;LITERATURA UNIVERSAL;
LA TRAVESIA DEL VIAJERO DEL ALBA ;CS LEWIS;PLANETA;9700;FANTASIA;
LA UDI TRAS EL TELON;PEREZ CONTRERAS  ANIBAL;AMERICA EN MOVIMIENTO ;10500;ENSAYO;
LA ULTIMA BATALLA;CS LEWIS;DESTINO;9700;FANTASIA;
LA VEGANISTA;NICOLE  JUST;ALBATROS;19000;VERDE ANIMAL ;
LA VENGANZA DE LA GEOGRAFIA;KAPLAN  ROBERT;RBA;30000;ENSAYO;
LA VERDAD SIN HORA;LILIAN OLIVARES;CATALONIA;13500;HISTORIA ;
LA VIDA AMOROSA DE LOS ANIAMLES;KATHARINA VON DER GATHEN;TAKATUKA;25000;VERDE ANIMAL ;
LA VIDA ES BUENA;WOLFANG GOETHE  JOHANN;VISOR LIBROS ;10640;POESIA;
LA VIDA ORDENADA;MORABITO FABIO;ETERNA CADENCIA;14000;LITERATURA LATINOAMERICANA;
LA VIOLENCIA POLITICA POPULAR EN LAS GRANDES ALAMEDAS;SALAZAR  GABRIEL;LOM;15000;HISTORIA DE CHILE ;
LAS AVENTURAS DE SHERLOCK HOLMES;DOYLE CONAN  ARTHUR;MESTAS;6000;TERROR / SUSPENSO ;
LAS BOLSAS DE BASURA ;WINTER  ENRIQUE;ALQUIMIA;9990;LITERATURA CHILENA;
LAS CARTAS DE EROS;LIHN  ENRIQUE;OVEROL;10000;POESIA;
LAS CIUDADES INVISIBLES ;ITALO CALVINO;SIRUELA ;17000;LITERATURA UNIVERSAL;
LAS CONTRADICCIONES DEL SOCIALISMO REAL;LEBOWITZ  MICHAEL;LOM;10000;HISTORIA ;
LAS FALSAS PROMESAS PSIQUIATRICAS;GUILLERMO RENDUELES;LA LINTERNA SORDA;19500;PSICOLOGIA;
LAS FISURAS DEL NEOLIBERALISMO CHILENO;FRANCK GAUDICHAUD;QUIMANTU;7000;ENSAYO;
LAS FLORES DEL MAL ;BAUDELAIRE  CHARLES;VISOR LIBROS ;23200;POESIA;
LAS HOMICIDAS;ALIA TRABUCCO    ;LUMEN;12000;LITERATURA CHILENA;
LAS ILUSIONES PERDIDAS ;BALZAC DE;PENGUIN CLASICOS ;14000;LITERATURA UNIVERSAL;
LAS LARGAS SOMBRAS DE LA DICTADURA ;MARIO  GARCES;LOM;9500;HISTORIA DE CHILE ;
LAS MAS EXTRAÑAS HISTORIAS DE AMOR;MANZANO  EVA;REINO DE CORDELIA;24600;NOVELA ROMANTICA;
LAS MASCARAS DE DIOS;CAMPBELL  JOSEPH;ATALANTA;36000;MITOLOGIA;
LAS MIL Y UNA VIDAS DE LAS CANCIONES;(COMPS.) GILBERT ABEL / LIUT MARTIN;GOURMET;15000;MÚSICA;
LAS PERIODISTAS DE LA FRONDE;ELENA PINTANO;LA LINTERNA SORDA;17500;HISTORIA ;
LAS PROMESAS DEL EQUINOCCIO;ELIADE  MIRCEA;TAURUS;15500;MITOLOGIA;
LAS RAICES DEL FRACASO AMERICANO;BERMAN  MORRIS;SEXTOPISO;16500;SOCIOLOGIA;
LAS TRAMPAS DEL DESEO;ARIELY  DAN;ARIEL;15500;NOVELA ROMANTICA;
LAS TRAMPAS DEL DINERO;DAN ARIELY;ARIEL;22900;ENSAYO;
LAS TRES VANGUARDIAS;RICARDO PIGLIA;ETERNA CADENCIA;15000;ENSAYO;
LATIDO DE ESCOMBRO;CAJALES DANTE;RUMBOS;9000;POESIA;
LECCIONES DE MATEMÁTICAS PARA EL RECREO;NAVAS  ANDRÉS;PLANETA;11500;DIVULGACIÓN CIENTIFICA ;
LECTURAS CRÍTICOS FEMINISTAS ;GABRIELA MORA;CUARTO PROPIO ;18000;FEMINISMO;
LECTURAS DEL MITO GRIEGO;BERMEJO BARRERA  J.C & DIEZ PLATAS  F.;AKAL;29900;MITOLOGIA;
LEGADO DE LOS HUESOS;REDONDO  DOLORES;BOOKET;11500;TERROR / SUSPENSO ;
LENGUAJE  MUNDO  TRADUCCIÓN. UNA ENTREVISTA A ANDRÉS CLARO;ANDRÉS CLARO;OVEROL;11000;FILOSOFIA;
LENI SE VIELVE BEBE;EMMA ADBGAE;GATOS SUECOS;15500;INFANTIL;
LENIN. UNA BIOGRAFIA;SERVICE  ROBERT;SIGLO XXI;36854;BIOGRAFIA;
LEONARDO EN VUELO DE LA MENTE;NICHOLL  CHARLES;TAURUS;26500;BIOGRAFIA ;
LEVIATÁN;THOMAS HOBBES ;FCE;17900;FILOSOFIA;
LEYENDAS MITOS CUENTOS Y MAPUCHES;Córdova  Fernando;LONG SELLER;13000;MITOLOGIA;
LIBRO DE LAS PREGUNTAS;NERUDA  PABLO;PLANETA;10200;POESIA;
LIBRO DE SUEÑOS;BORGES  JORGE LUIS ;BOLSILLO;8000;LITERATURA LATINOAMERICANA;
LIBRO DEL DESASOSIEGO;PESSOA  FERNANDO;ACANTILADO;17000;POESIA;
LIBRO SECRETO DE LOS MAYAS;MARTINEZ JUAREZ  JOR;AKAL;10115;MITOLOGIA;
LIHN. ENSAYOS BIOGRÁFICOS;ROBERTO MERINO;UDP;10000;BIOGRAFÍA;
LILITH. ROLLOS APÓCRIFOS;SÁNCHEZ  SUSANA;ASTERION;12500;LITERATURA CHILENA;
LLAMADAS TELEFONICAS;BOLAÑO  ROBERTO ;ALFAGUARA;13000;LITERATURA CHILENA;
LLAMADME STALIN;SEBAG MONTEFIORE  SIMON;CRITICA;25500;BIOGRAFIA;
LLAMANDO A LAS PUERTAS DE LA REVOLUCION ;MARX  KARL;PENGUIN CLASICOS ;13000;FILOSOFIA;
LO BELLO Y LO TRISTE;KAWABATA  YASUNARI;EMECE;13500;LITERATURA UNIVERSAL;
LO PEQUEÑO ES HERMOSO;SCHUMACHER  E.F.;AKAL;29874;FILOSOFIA;
LO QUE APRENDEMOS DE LOS GATOS ;DIAZ  PALOMA;ANAGRAMA;15000;VERDE ANIMAL ;
LO QUE EL DINERO NO PUEDE COMPRAR;SANDEL  MICHAEL;DEBATE;16000;ENSAYO;
LO QUE RESTA DE AUSCHWITZ;AGAMBEN  GIORGIO;ADRIANA HIDALGO;21500;ENSAYO;
LOGIA;ORTEGA  FRANCISCO;BOOKET;11000;NOVELA HISTORICA;
LOLITA ;NABOKOV  VLADIMIR;ANAGRAMA;13000;LITERATURA UNIVERSAL;
LORCA  SUEÑO DE VIDA;STAINTON  LESLIE;ADRIANA HIDALGO;26500;BIOGRAFIA;
LOS AMANTES DE COYOACAN;DE CORTANZE  GERARD;PLANETA;14000;NOVELA ROMANTICA;
LOS ANIMALES  EN LA BIOETICA;LEYTON  FABIOLA;HERDER;16000;VERDE ANIMAL;
LOS AÑOS CHILENOS DE RAUL RUIZ;CACERES  YENNY;CATALONIA;18900;BIOGRAFIA ;
LOS ASALTANTES DEL CIELO;CONTRERAS  GONZALI;SEIX BARRAL;15500;LITERATURA CHILENA;
LOS CONDENADOS DE LA TIERRA;FRANTZ FANON;TXALAPARTA;16900;ENSAYO;
LOS COPPOLA;MIGUEL LOPEZ;LA LINTERNA SORDA;21000;HISTORIA ;
LOS COSACOS;TOLSTOI  LEV;ATALANTA;23200;LITERATURA UNIVERSAL;
LOS DISIDENTES DEL UNIVERSO;AMARA  LUIGI;CONACULTA;11000;HISTORIA ;
LOS DOMINADOS Y EL ARTE DE LA RESISTENCIA;JAMES SCOTT;TXALAPARTA;19500;HISTORIA ;
LOS DUEÑOS DEL MUNDO ;SACHERI  EDUARDO ;ALFAGUARA;14500;LITERATURA UNIVERSAL;
LOS ESPEJOS COMUNICANTES ;HAHN  OSCAR;VISOR LIBROS ;11800;POESIA;
LOS EXCESOS DEL GENERO;BUTLER  JUDITH;PAIDOS;18500;FEMINISMO;
LOS FANTASMAS ;AIRA  CESAR;RANDOM HOUSE ;16000;LITERATURA UNIVERSAL;
LOS HERALDOS NEGROS ;VALLEJO  CESAR;PEISA;7900;POESIA;
LOS HIJOS DEL FRIO;REBOLLEDO  JAVIER;PLANETA;15500;HISTORIA DE CHILE ;
LOS HOMBRES OSCUROS;GUZMAN  NICOMEDES;LOM;6000;LITERATURA CHILENA;
LOS MALDITOS;LEILA GUERRIERO (EDITORA);UDP;16000;BIOGRAFÍA;
LOS MANDARINES ;DE BEAUVOIR  SIMONE;DEBOLSILLO;14000;FEMINISMO;
LOS MISERABLES ;HUGO  VICTOR;RANDOM HOUSE ;16500;LITERATURA UNIVERSAL;
LOS MITOS DE LA DEMOCRACIA CHILENA;PORTALES  FELIPE;CATALONIA;30000;HISTORIA DE CHILE ;
LOS MITOS GRIEGOS     ;ROBERT GRAVES           ;Ariel            ;17900;MITOLOGIA;
LOS MUERTOS ;BISAMA  ALVARO;DEBOLSILLO;7900;LITERATURA CHILENA;
LOS NUEVOS AMOS DE LA TIERRA;LIBERTI STEFANO;TAURUS;14000;ENSAYO;
LOS OJOS VENDADOS;HUSTVEDT  SIRI;SEIX BARRAL;18500;LITERATURA UNIVERSAL;
LOS PAISES DE LOS OTROS ;MCGUINNESS  PATRICK;LOM;9000;LITERATURA UNIVERSAL;
LOS QUE SOBRAN;BARROS  PIA;ASTERION;14000;LITERATURA CHILENA;
LOS QUE VAN A MORIR TE SALUDAN;DEVES  EDUARDO;LOM;10000;HISTORIA DE CHILE ;
LOS SECRETOS DEL IMPERIO DE KARADIMA;GONZALEZ  MONICA;CATALONIA;12000;ENSAYO;
LOS SIETE HIJOS DE SIMENON;DIAZ ETEROVIC  RAMON ;LOM;10000;LITERATURA CHILENA;
LOS SINSABORES DEL VERDADERO POLICIA ;BOLAÑO  ROBERTO;ALFAGUARA ;10000;LITERATURA CHILENA;
LOS TENACES ;VARAS  JOSE MGUEL ;LOM;7000;LITERATURA CHILENA;
LOS TRABAJADORES DE LA MUERTE;ELTIT  DIAMELA;SEIX BARRAL;10800;LITERATURA CHILENA;
LOS TREINTA Y NUEVE ESCALONES;BUCHAN  JOHN;LOSADA;18000;LITERATURA UNIVERSAL;
LOS TRENES SE VAN AL PURGATORIO;RIVERA LETELIER  HERNAN;DEBOLSILLO;7500;LITERATURA CHILENA;
LOS TRES MOSQUETEROS;DUMAS  ALEXANDRE;PENGUIN CLASICOS ;13000;LITERATURA UNIVERSAL;
LOS ULTIMOS DIAS DE CALYTON CO;SOLAR  FRANCISCA ;PLANETA;15500;BIOGRAFIA ;
LOS ULTIMOS DIIAS DE ADELAIDA GARCIA MORALES ;NAVARRO  ELVIRA;RANDOM HOUSE ;13000;LITERATURA UNIVERSAL;
LOS VERDES SOMOS LOS NUEVOS ROJOS;POTTER  WILL;PLAZA Y VALDES;18800;ENSAYO;
LOS VERSOS DEL CAPITAN;NERUDA  PABLO;SEIX BARRAL;7000;POESIA;
LOS VIAJES DE GULLIVER;SWIFT  JONATHAN;LA FLOR ;29000;INFANTIL;
LOS VIGILANTES;ELTIT  DIAMELA;SEIX BARRAL;10800;LITERATURA CHILENA;
LOTA LA CACHALOTA;ROSE RIMBAO;TAKATUKA;17500;INFANTIL;
LOVECRAFT EL HORROR DE DUNWICH;CARUSO  SANTIAGO;ZORRO ROJO;16500;TERROR / SUSPENSO ;
LUGAR EN EL MUNDO  LA JUSTICIA ESPACIAL;ANTONIO CAMPILLO;CATARATA;19500;VERDE ANIMAL;
LUGAR SIN LIMITES  EL (ED. ANIV);DONOSO  JOSE;ALFAGUARA;10000;LITERATURA CHILENA;
LUIS EMILIO RECABARREN;PINTO  JULIO;LOM;11000;HISTORIA DE CHILE ;
LUISA 1912 FEMINISTA DEL CHILE BICENTENARIO ;VIVIANI  DANIELA;PLANETA;13500;NOVELA HISTORICA;
LUZ EN BERLÍN;CERDA  PATRICIA;PLANETA;15500;LITERATURA CHILENA;
MADAME BOVARY;FLAUBERT  GUSTAVE;INTEGRA;10000;LITERATURA UNIVERSAL;
MADAME BOVARY;GUSTAVE FLAUBERT;ETERNA CADENCIA;19000;LITERATURA LATINOAMERICANA;
MADRES Y HUACHOS;MONTECINOS  SONIA ;CATALONIA;10500;HISTORIA DE CHILE ;
MAFALDA 1;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 10;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 2;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 3;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 4;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 5;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 6;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 7;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 8;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA 9;QUINO;LA FLOR ;7000;INFANTIL;
MAFALDA INEDITA ;QUINO;LA FLOR ;10900;INFANTIL;
MAFALDA: COMO VA EL PLANETA;QUINO;LA FLOR ;10900;INFANTIL;
MAL DE AMOR;HAHN  OSCAR;LOM;2500;POESIA;
MAL DE ÉPOCA;MARÍA SONIA CRISTOFF;LAUREL ;10000;;
MALO;LORENZ PAULI;TAKATUKA;17500;INFANTIL;
MANIFIESTO COMUNISTA;MARX / ENGELS;AKAL;8896;FILOSOFIA;
MANIFIESTO COMUNISTA. EDICION BILINGUE (DEAN & HARVEY);MARX / ENGELS;AKAL;17792;FILOSOFIA;
MAPUCHES Y EL PROCESO QUELOS CONVIRTIO EN INDIOS;PAILLALEF  JULIO;CATALONIA;13500;HISTORIA DE CHILE ;
MAQUINA DE LAS EMOCIONES  LA;MINSKY MARVIN;DEBATE;24000;PSICOLOGIA;
MARCADOR POR USAR LABIAL;MORENO  GREGORIO ;CATALONIA;15500;FEMINISMO;
MARIA ANTONIETA;ZWEIG  STEFAN;ACANTILADO;37000;BIOGRAFIA;
MARIA ESTUARDO;ZWEIG  STEFAN;ACANTILADO;32000;BIOGRAFIA;
MARIA PINEDA  YO SOY LA LIBERTAD ;ANTONINA RODRIGO ;LA LINTERNA SORDA;22500;BIOGRAFIA;
MARIE CURIE;;CATALONIA;9500;INFANTIL;
MARINERO EN TIERRA;ALBERTI  RAFAEL;VISOR LIBROS ;12800;POESIA;
MARTA NO DA BESOS;BELEN GAUDES;CUATRO TUERCAS;18000;INFANTIL;
MARTE LA PROXIMA FRONTERA;MAZA  JOSÉ MARÍA;PLANETA;13500;DIVULGACIÓN CIENTIFICA ;
MARX 200 AÑOS;PONCE  JOSE IGNACIO;AMERICA EN MOVIMIENTO ;12000;SOCIOLOGIA;
MARX EL ARMA DE LA CRITICA;KARL MARX;CATARATA;18900;FILOSOFIA;
MARX RELOADED;MOISHE POSTONE;TRAFICANTES DE SUEÑOS;18000;FILOSOFIA;
MARX  EL CAPITAL Y LA LOCURA DE LA RAZON ECONOMICA;HARVEY  DAVID;AKAL;25000;FILOSOFIA;
MARX  ONTOLOGIA DEL SER SOCIAL ;LUKACS  GYERGY;AKAL;10000;FILOSOFIA;
EL MARXISMO DE MARX;ARON  RAYMOND;SIGLO XXI;38500;FILOSOFIA;
MAS ALLÁ DEL BIEN Y DEL MAL;NIETZSCHE  FRIEDRICH;ALIANZA;14000;FILOSOFIA;
MAS DE 100 HOMBRES CONTRA LA VIOLENCIA;BARROS  PIA;ASTERION;12000;ENSAYO;
MAS DE 100 MUJERES CONTRA LA VIOLENCIA;BARROS  PIA;ASTERION;12000;ENSAYO;
MASONES & LIBERTADORES 2. EL SECRETO DE LA LOGIA;PARRA  WALDO;PLANETA;15500;NOVELA HISTORICA;
MASONES LIBERTADORES ;PARRA  WLADO;PLANETA;15500;NOVELA HISTORICA;
MATERIALES DE MI CANTO ;PARRA  VIOLETA ;ALQUIMIA;9900;LITERATURA CHILENA;
MATERIALES PARA UN AUTORRETRATO;BENJAMIN  WALTER;FCE;12000;FILOSOFIA;
MATILDE;SOZAPATO;KALANDRA;10500;INFANTIL;
MATRIARCADO  EL;BACHOFEN  J.J;AKAL;24200;FEMINISMO;
MAX URDEMALES EN LA RECTA PROVINCIA;ORTEGA  FRANCISCO;PLANETA;8000;INFANTIL;
MAX URDEMALES  ABOGADO SOBRENATURAL;ORTEGA  FRANCISCO;PLANETA;8000;INFANTIL;
MAYO FEMINISTA LA REBELION CONTRA EL PATRIARCADO;ZERAN  FARIDE;LOM;8000;FEMINISMO;
MAZONES LIBERTADORES LIBERTADORES  II;PARRA  WLADO;PLANETA;15000;NOVELA HISTORICA;
MAZONES LIBERTADORES LIBERTADORES  III;PARRA  WLADO;PLANETA;15500;NOVELA HISTORICA;
ME GUSTARIA TANTO SER;HOLZWARTH  WERNER;LIBERALIA;8000;INFANTIL;
MEMORIA DE UN SIQUIATRA ;IRVIN D. YALOM;EMECE;17500;BIOGRAFIA;
MEMORIAS DE UN MUJERIEGO;COHEN  LEONARD;VISOR LIBROS ;23000;POESIA;
MEMORIAS DE UN PSIQUIATRA;YALOM  IRVIN;EMECE;18000;BIOGRAFIA;
MENENDEZ REY DE LA PATAGONIA;ALONSO  JOSE LUIS;CATALONIA;16500;HISTORIA DE CHILE ;
MENTES FLEXIBLES        ;HOWARD GARDNER          ;Paidós           ;20900;ENSAYO;
MENTIRAS CIENTIFICAS SOBRE LAS MUJERES.LAS;GARCIA DAUDER S. Y PEREZ SEDEÑO EULALIA.;CATARATA;21500;FEMINISMO;
METAFISICA DE LA FELICIDAD REAL;BADIOU  ALAIN;ADRIANA HIDALGO;14000;FILOSOFIA;
METAMORFOSIS (KAFKA);KAFKA  FRANZ;AKAL;7455;LITERATURA UNIVERSAL;
METAMORFOSIS  LA;KAFKA  FRANZ;AKAL;8500;LITERATURA UNIVERSAL;
MI CORAZON AL DESNUDO Y OTROS PAPELES INTIMOS;BAUDELAIRE  CHARLES;VISOR LIBROS ;12800;POESIA;
MI CUERPO MI CARCEL PARA SER LIBRE ;STAMATEAS;LIBERALIA;7000;FEMINISMO;
MI HERMANO ARTHUR ;ISABELLE RIMBAUD;LIBROS DE LA MUJER ROTA;10000;BIOGRAFÍA;
MI PRIMER ATLAS DE ANIMALES;STILTON  GERONIMO;ESPASA;19500;INFANTIL;
MI VECINO ES UN PERRO ;MINHOS MARTINS  ISABEL;PLANETA;9400;INFANTIL;
MI VIDA COMO DIBUJANTE;COPANO  FABRICIO ;HUEDERS;6000;BIOGRAFIA;
MI VIDA JUNTO A PABLO NERUDA;URRUTIA  MATILDE;PEHUEN;9000;BIOGRAFIA ;
MICHEL FOUCAULT PARA PRINCIPIANTES;ALIX  LYDIA;LONGSELLER;14600;FILOSOFIA;
MICROPOLITICA / CARTOGRAFIAS DEL DESEO;GUATTARI  FELIX;TRAFICANTES DE SUEÑOS;23500;FILOSOFIA;
MIEDO;ZWEIG  STEFAN;ACANTILADO;16600;LITERATURA UNIVERSAL;
MIENTRAS UN LOBO LE CANTA A LA LUNA; ILABACA  SEBASTIAN;HUEDERS;31000;INFANTIL;
MIL GRULLAS;KAWABATA  YASUNARI;EMECE;12000;LITERATURA UNIVERSAL;
MILENA O EL FEMUR MAS BELLO DEL MUNDO;ZEPEDA  JORGE;PLANETA;15500;TERROR / SUSPENSO ;
MILICO;VARAS  JOSE MGUEL ;LOM;13500;LITERATURA CHILENA;
MIREYA BALTRA DEL QUISCO AL MINISTERIO DEL  TRABAJO;MIREYA BALTRA;LOM;9700;BIOGRAFIA;
MITOLOGIA NORDICA;BERNANDEZ  ENRIQUE;ALIANZA;16000;MITOLOGIA;
MITOLOGIA NORDICA;Bernardez  Enrique;ANAYA;14000;MITOLOGIA;
MITOLOGIA Y CIENCIA OCULTA;ADLER  OSCAR;GATE;28500;ASTROLOGIA;
MITOS NORDICOS;GAIMAN  NEIL;DESTINO;21000;MITOLOGIA;
MORADA IRREAL;TEILLIER  JORGE;LOM;16000;LITERATURA CHILENA;
MORIR EN LA PAZ ;LEAL  BARTOLOME;ESPORA ;7000;LITERATURA CHILENA;
MR MERCEDES;KING  STEPHEN;DEBOLSILLO;15000;TERROR / SUSPENSO ;
MR MERCEDES;KING  STEPHEN;PLAZA JINES;11000;TERROR / SUSPENSO ;
MRS. DALLOWAY / VIRGINIA WOOLF;WOOLF  VIRGINIA;EL CUENCO DE PLATA;14280;FEMINISMO;
MUDANZA ;ZAMBRA ALEJANDRO;TACITAS;6900;LITERATURA CHILENA;
MUJERES BACANAS;PULIDO  SONIA;CATALONIA;14000;FEMINISMO;
MUJERES BACANAS LATINAS ;PLANT  ISABEL;CATALONIA;13500;FEMINISMO;
MUJERES CHILENAS;MONTECINOS  SONIA ;CATALONIA;25000;FEMINISMO;
MUJERES  RAZA Y CLASE;DAVIS ANGELA;AKAL;28600;FEMINISMO;
MUNDOS POSIBLES. EL NACIMIENTO DE UNA NUEVA MENTALIDAD CIENTIFICA;JORGE SANDKUHLER  HANS;AKAL;10500;HISTORIA ;
MÚSICA PROSAICA;MARCELO COHEN;MONTACERDOS ;7900;;
NACEMOS DE MUJER LA METERNIDAD COMO EXPERIENCIA;ADRIENNE RICH;TAFICANTES DE SUEÑO;24500;FEMINISMO;
NACIMIENTO DE LA TRAGEDIA;NIETZSCHE  FRIEDRICH;LOSADA;21000;FILOSOFIA;
NACION NEGRA   PODER NEGRO ;JOSE MANUEL ROCA;LA LINTERNA SORDA;19500;ENSAYO;
NACIONALES Y GREMIALES;VALDIVIA  VERONICA;LOM;16000;HISTORIA DE CHILE ;
NACIONES Y NACIONALISMO DESDE 1780;HOBSBAWM  ERIC;CRITICA;23000;HISTORIA ;
NADIE ESTA SEGURO CON UN LIBRO EN LAS MANOS;ALBA RICO  SANTIAGO;CATARATA;18500;ENSAYO;
NADIE SABE MÁS QUE LOS MUERTOS;DIAZ ETEROVIC  RAMON ;LOM;7000;LITERATURA CHILENA;
NANAI;PEREZ  DANIELA;PLANETA;10000;LITERATURA UNIVERSAL;
